기관 명,송신 서버 번호,데이터 번호,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자,시장,,,
서울시,32,1,SDOT001,2992,00Original,2992,79,2.02E+11,2020-05-04 0:06,구로시장,,,
서울시,32,1,SDOT001,2993,00Original,2993,77,2.02E+11,2020-05-04 0:06,구로시장,,,
서울시,32,1,SDOT001,2994,00Original,2994,148,2.02E+11,2020-05-04 0:06,구로시장,,,
서울시,32,1,SDOT001,2995,00Original,2995,62,2.02E+11,2020-05-04 0:06,고척근린시장,,,
서울시,32,1,SDOT001,2996,00Original,2996,92,2.02E+11,2020-05-04 0:06,고척근린시장,,,
서울시,32,1,SDOT001,2997,00Original,2997,77,2.02E+11,2020-05-04 0:06,화곡중앙골목시장,,,
서울시,32,1,SDOT001,2998,00Original,2998,95,2.02E+11,2020-05-04 0:06,화곡중앙골목시장,,,
서울시,32,1,SDOT001,2999,00Original,2999,37,2.02E+11,2020-05-04 0:06,도곡시장,,,
서울시,32,1,SDOT001,3000,00Original,3000,69,2.02E+11,2020-05-04 0:07,영동전통시장,,,
서울시,32,1,SDOT001,3001,00Original,3001,34,2.02E+11,2020-05-04 0:07,개포2동 중심상가,,,
서울시,32,1,SDOT001,3002,00Original,3002,61,2.02E+11,2020-05-04 0:07,개포2동 중심상가,,,
서울시,32,1,SDOT001,3003,00Original,3003,77,2.02E+11,2020-05-04 0:07,제일종합시장,,,
서울시,32,1,SDOT001,3004,00Original,3004,63,2.02E+11,2020-05-04 0:07,제일종합시장,,,
서울시,32,1,SDOT001,3005,00Original,3005,79,2.02E+11,2020-05-04 0:07,상계중앙시장,,,
서울시,32,1,SDOT001,3006,00Original,3006,89,2.02E+11,2020-05-04 0:07,공릉동 도깨비시장,,,
서울시,32,1,SDOT001,3007,00Original,3007,75,2.02E+11,2020-05-04 0:07,공릉동 도깨비시장,,,
서울시,32,1,SDOT001,3008,00Original,3008,113,2.02E+11,2020-05-04 0:07,암사종합시장,,,
서울시,32,1,SDOT001,3009,00Original,3009,64,2.02E+11,2020-05-04 0:07,암사종합시장,,,
서울시,32,1,SDOT001,3010,00Original,3010,72,2.02E+11,2020-05-04 0:07,암사종합시장,,,
서울시,32,1,SDOT001,3011,00Original,3011,127,2.02E+11,2020-05-04 0:07,중곡제일골목시장,,,
서울시,32,1,SDOT001,3012,00Original,3012,50,2.02E+11,2020-05-04 0:07,자양종합시장,,,
서울시,32,1,SDOT001,3013,00Original,3013,57,2.02E+11,2020-05-04 0:07,성대골목시장,,,
서울시,32,1,SDOT001,3014,00Original,3014,86,2.02E+11,2020-05-04 0:07,성대골목시장,,,
서울시,32,1,SDOT001,3015,00Original,3015,44,2.02E+11,2020-05-04 0:07,성대골목시장,,,
서울시,32,1,SDOT001,3016,00Original,3016,58,2.02E+11,2020-05-04 0:08,남성시장,,,
서울시,32,1,SDOT001,3017,00Original,3017,67,2.02E+11,2020-05-04 0:08,남성시장,,,
서울시,32,1,SDOT001,3018,00Original,3018,90,2.02E+11,2020-05-04 0:08,수유재래시장,,,
서울시,32,1,SDOT001,3019,00Original,3019,92,2.02E+11,2020-05-04 0:08,수유재래시장,,,
서울시,32,1,SDOT001,3020,00Original,3020,418,2.02E+11,2020-05-04 0:08,수유재래시장,,,
서울시,32,1,SDOT001,3021,00Original,3021,77,2.02E+11,2020-05-04 0:08,창동신창시장,,,
서울시,32,1,SDOT001,3022,00Original,3022,93,2.02E+11,2020-05-04 0:08,창동신창시장,,,
서울시,32,1,SDOT001,3023,00Original,3023,69,2.02E+11,2020-05-04 0:08,창동신창시장,,,
서울시,32,1,SDOT001,3028,00Original,3028,86,2.02E+11,2020-05-04 0:08,망원시장,,,
서울시,32,1,SDOT001,3029,00Original,3029,56,2.02E+11,2020-05-04 0:08,영진시장,,,
서울시,32,1,SDOT001,3030,00Original,3030,96,2.02E+11,2020-05-04 0:08,망원시장,,,
서울시,32,1,SDOT001,3031,00Original,3031,96,2.02E+11,2020-05-04 0:08,신원시장,,,
서울시,32,1,SDOT001,3032,00Original,3032,41,2.02E+11,2020-05-04 0:08,신원시장,,,
서울시,32,1,SDOT001,3033,00Original,3033,61,2.02E+11,2020-05-04 0:09,새마을시장,,,
서울시,32,1,SDOT001,3034,00Original,3034,376,2.02E+11,2020-05-04 0:09,새마을시장,,,
서울시,32,1,SDOT001,3036,00Original,3036,237,2.02E+11,2020-05-04 0:09,신영시장,,,
서울시,32,1,SDOT001,3037,00Original,3037,00000000-1,2.02E+11,2020-05-04 0:09,신영시장,,,
서울시,32,1,SDOT001,3038,00Original,3038,109,2.02E+11,2020-05-04 0:09,신영시장,,,
서울시,32,1,SDOT001,3039,00Original,3039,83,2.02E+11,2020-05-04 0:09,목3동시장,,,
서울시,32,1,SDOT001,3040,00Original,3040,64,2.02E+11,2020-05-04 0:09,창동골목시장,,,
서울시,32,1,SDOT001,3041,00Original,3041,65,2.02E+11,2020-05-04 0:09,창동골목시장,,,
서울시,32,1,SDOT001,2992,00Original,2992,102,2.02E+11,2020-05-04 0:19,구로시장,,,
서울시,32,1,SDOT001,2993,00Original,2993,80,2.02E+11,2020-05-04 0:19,구로시장,,,
서울시,32,1,SDOT001,2994,00Original,2994,105,2.02E+11,2020-05-04 0:19,구로시장,,,
서울시,32,1,SDOT001,2995,00Original,2995,67,2.02E+11,2020-05-04 0:19,고척근린시장,,,
서울시,32,1,SDOT001,2996,00Original,2996,86,2.02E+11,2020-05-04 0:19,고척근린시장,,,
서울시,32,1,SDOT001,2997,00Original,2997,57,2.02E+11,2020-05-04 0:19,화곡중앙골목시장,,,
서울시,32,1,SDOT001,2998,00Original,2998,84,2.02E+11,2020-05-04 0:19,화곡중앙골목시장,,,
서울시,32,1,SDOT001,2999,00Original,2999,39,2.02E+11,2020-05-04 0:19,도곡시장,,,
서울시,32,1,SDOT001,3000,00Original,3000,67,2.02E+11,2020-05-04 0:20,영동전통시장,,,
서울시,32,1,SDOT001,3001,00Original,3001,43,2.02E+11,2020-05-04 0:20,개포2동 중심상가,,,
서울시,32,1,SDOT001,3002,00Original,3002,69,2.02E+11,2020-05-04 0:20,개포2동 중심상가,,,
서울시,32,1,SDOT001,3003,00Original,3003,86,2.02E+11,2020-05-04 0:20,제일종합시장,,,
서울시,32,1,SDOT001,3004,00Original,3004,81,2.02E+11,2020-05-04 0:20,제일종합시장,,,
서울시,32,1,SDOT001,3005,00Original,3005,98,2.02E+11,2020-05-04 0:20,상계중앙시장,,,
서울시,32,1,SDOT001,3006,00Original,3006,91,2.02E+11,2020-05-04 0:20,공릉동 도깨비시장,,,
서울시,32,1,SDOT001,3007,00Original,3007,71,2.02E+11,2020-05-04 0:20,공릉동 도깨비시장,,,
서울시,32,1,SDOT001,3008,00Original,3008,108,2.02E+11,2020-05-04 0:20,암사종합시장,,,
서울시,32,1,SDOT001,3009,00Original,3009,59,2.02E+11,2020-05-04 0:20,암사종합시장,,,
서울시,32,1,SDOT001,3010,00Original,3010,64,2.02E+11,2020-05-04 0:20,암사종합시장,,,
서울시,32,1,SDOT001,3011,00Original,3011,122,2.02E+11,2020-05-04 0:20,중곡제일골목시장,,,
서울시,32,1,SDOT001,3012,00Original,3012,41,2.02E+11,2020-05-04 0:20,자양종합시장,,,
서울시,32,1,SDOT001,3013,00Original,3013,48,2.02E+11,2020-05-04 0:20,성대골목시장,,,
서울시,32,1,SDOT001,3014,00Original,3014,77,2.02E+11,2020-05-04 0:20,성대골목시장,,,
서울시,32,1,SDOT001,3015,00Original,3015,57,2.02E+11,2020-05-04 0:20,성대골목시장,,,
서울시,32,1,SDOT001,3016,00Original,3016,48,2.02E+11,2020-05-04 0:21,남성시장,,,
서울시,32,1,SDOT001,3017,00Original,3017,64,2.02E+11,2020-05-04 0:21,남성시장,,,
서울시,32,1,SDOT001,3018,00Original,3018,75,2.02E+11,2020-05-04 0:21,수유재래시장,,,
서울시,32,1,SDOT001,3019,00Original,3019,89,2.02E+11,2020-05-04 0:21,수유재래시장,,,
서울시,32,1,SDOT001,3020,00Original,3020,381,2.02E+11,2020-05-04 0:21,수유재래시장,,,
서울시,32,1,SDOT001,3021,00Original,3021,69,2.02E+11,2020-05-04 0:21,창동신창시장,,,
서울시,32,1,SDOT001,3022,00Original,3022,87,2.02E+11,2020-05-04 0:21,창동신창시장,,,
서울시,32,1,SDOT001,3023,00Original,3023,69,2.02E+11,2020-05-04 0:21,창동신창시장,,,
서울시,32,1,SDOT001,3028,00Original,3028,57,2.02E+11,2020-05-04 0:21,망원시장,,,
서울시,32,1,SDOT001,3029,00Original,3029,48,2.02E+11,2020-05-04 0:21,영진시장,,,
서울시,32,1,SDOT001,3030,00Original,3030,86,2.02E+11,2020-05-04 0:21,망원시장,,,
서울시,32,1,SDOT001,3031,00Original,3031,117,2.02E+11,2020-05-04 0:21,신원시장,,,
서울시,32,1,SDOT001,3032,00Original,3032,38,2.02E+11,2020-05-04 0:21,신원시장,,,
서울시,32,1,SDOT001,3033,00Original,3033,53,2.02E+11,2020-05-04 0:22,새마을시장,,,
서울시,32,1,SDOT001,3034,00Original,3034,401,2.02E+11,2020-05-04 0:22,새마을시장,,,
서울시,32,1,SDOT001,3036,00Original,3036,178,2.02E+11,2020-05-04 0:22,신영시장,,,
서울시,32,1,SDOT001,3037,00Original,3037,00000000-1,2.02E+11,2020-05-04 0:22,신영시장,,,
서울시,32,1,SDOT001,3038,00Original,3038,92,2.02E+11,2020-05-04 0:22,신영시장,,,
서울시,32,1,SDOT001,3039,00Original,3039,72,2.02E+11,2020-05-04 0:22,목3동시장,,,
서울시,32,1,SDOT001,3040,00Original,3040,55,2.02E+11,2020-05-04 0:22,창동골목시장,,,
서울시,32,1,SDOT001,3041,00Original,3041,77,2.02E+11,2020-05-04 0:22,창동골목시장,,,
서울시,32,1,SDOT001,2992,00Original,2992,88,2.02E+11,2020-05-04 0:32,구로시장,,,
서울시,32,1,SDOT001,2993,00Original,2993,64,2.02E+11,2020-05-04 0:32,구로시장,,,
서울시,32,1,SDOT001,2994,00Original,2994,113,2.02E+11,2020-05-04 0:32,구로시장,,,
서울시,32,1,SDOT001,2995,00Original,2995,79,2.02E+11,2020-05-04 0:32,고척근린시장,,,
서울시,32,1,SDOT001,2996,00Original,2996,62,2.02E+11,2020-05-04 0:32,고척근린시장,,,
서울시,32,1,SDOT001,2997,00Original,2997,49,2.02E+11,2020-05-04 0:32,화곡중앙골목시장,,,
서울시,32,1,SDOT001,2998,00Original,2998,101,2.02E+11,2020-05-04 0:32,화곡중앙골목시장,,,
서울시,32,1,SDOT001,2999,00Original,2999,39,2.02E+11,2020-05-04 0:33,도곡시장,,,
서울시,32,1,SDOT001,3000,00Original,3000,62,2.02E+11,2020-05-04 0:33,영동전통시장,,,
서울시,32,1,SDOT001,3001,00Original,3001,35,2.02E+11,2020-05-04 0:33,개포2동 중심상가,,,
서울시,32,1,SDOT001,3002,00Original,3002,64,2.02E+11,2020-05-04 0:33,개포2동 중심상가,,,
서울시,32,1,SDOT001,3003,00Original,3003,47,2.02E+11,2020-05-04 0:33,제일종합시장,,,
서울시,32,1,SDOT001,3004,00Original,3004,67,2.02E+11,2020-05-04 0:33,제일종합시장,,,
서울시,32,1,SDOT001,3005,00Original,3005,94,2.02E+11,2020-05-04 0:33,상계중앙시장,,,
서울시,32,1,SDOT001,3006,00Original,3006,72,2.02E+11,2020-05-04 0:33,공릉동 도깨비시장,,,
서울시,32,1,SDOT001,3007,00Original,3007,72,2.02E+11,2020-05-04 0:33,공릉동 도깨비시장,,,
서울시,32,1,SDOT001,3008,00Original,3008,81,2.02E+11,2020-05-04 0:33,암사종합시장,,,
서울시,32,1,SDOT001,3009,00Original,3009,60,2.02E+11,2020-05-04 0:33,암사종합시장,,,
서울시,32,1,SDOT001,3010,00Original,3010,60,2.02E+11,2020-05-04 0:33,암사종합시장,,,
서울시,32,1,SDOT001,3011,00Original,3011,110,2.02E+11,2020-05-04 0:33,중곡제일골목시장,,,
서울시,32,1,SDOT001,3012,00Original,3012,33,2.02E+11,2020-05-04 0:33,자양종합시장,,,
서울시,32,1,SDOT001,3013,00Original,3013,45,2.02E+11,2020-05-04 0:33,성대골목시장,,,
서울시,32,1,SDOT001,3014,00Original,3014,67,2.02E+11,2020-05-04 0:33,성대골목시장,,,
서울시,32,1,SDOT001,3015,00Original,3015,64,2.02E+11,2020-05-04 0:34,성대골목시장,,,
서울시,32,1,SDOT001,3016,00Original,3016,43,2.02E+11,2020-05-04 0:34,남성시장,,,
서울시,32,1,SDOT001,3017,00Original,3017,77,2.02E+11,2020-05-04 0:34,남성시장,,,
서울시,32,1,SDOT001,3018,00Original,3018,65,2.02E+11,2020-05-04 0:34,수유재래시장,,,
서울시,32,1,SDOT001,3019,00Original,3019,93,2.02E+11,2020-05-04 0:34,수유재래시장,,,
서울시,32,1,SDOT001,3020,00Original,3020,307,2.02E+11,2020-05-04 0:34,수유재래시장,,,
서울시,32,1,SDOT001,3021,00Original,3021,72,2.02E+11,2020-05-04 0:34,창동신창시장,,,
서울시,32,1,SDOT001,3022,00Original,3022,92,2.02E+11,2020-05-04 0:34,창동신창시장,,,
서울시,32,1,SDOT001,3023,00Original,3023,62,2.02E+11,2020-05-04 0:34,창동신창시장,,,
